kind,sound-trigger,sound-replay,visual-trigger,visual-replay,state-consumption,status,notes
MineExploded,explosion-fivepiece(sound 2D)+tinnitus(local-audio segment),fivepiece+tinnitus (ExplosionBodyEffect),particle/blastmark/shake/chained blasts,fivepiece+body-segment,exploded+health0+RemoteEntityDeath,covered,press visual rides the dedicated MinePressed event (same edge)
MinePressed,mine(3D press sound),mine 3D replay (same call),pressedSprite,pressedSprite replay + MinePressReplayMarker duplicate guard,transient only - MineExploded is the durable consumption,covered,reported at pressed false to true edge (MineScript.cs 44-51) at the true start; receiver never writes private pressed latch (local natural explosion would double effects); transient not in one-shot snapshot
TurretSelfDestructed,explosion-fivepiece+tinnitus,host natural (CreateExplosion) / guest fivepiece+tinnitus,particle/blastmark/shake,fivepiece+body-segment+collider-disable,health0+RemoteEntityDeath,covered,
TurretFired,rifleshot(2D)+turretsee-beep,warning at t0 + shot at t0.5s (timed replay),fireSprite-2s+ParticleSystem+TurretLine-tracer,shot visual at t0.5s + fireSprite (timeSinceFired=0 drives it),didShoot+timeSinceFired=0+didBeep=true (15s silent reload),covered,REPORT AT didBeep = the warning (the event's TRUE START; was Shoot() t=0.5s - the whole replay chain ran 0.5s late - fixed 2026-08-10); full post-fire state replayed (didBeep pins discovery branch off during reload - cooldown turret is SILENT like single-player); warning+shot replayed with the trigger side's 0.5s beepTime timing (coroutine); fireSprite/fireLamp lit at the FIRING moment (timeSinceFired = 3s at the warning keeps them off; 0s lands in the 0.5s coroutine - was 0s at the warning and lit 0.5s early - fixed 2026-08-10); lightSprite flicker starts at the FIRING moment (TurretLightSpriteGate holds it steady through the 0.5 s warning; the didShoot lock stays immediate so the game's Update can never fire a REAL shot); tracer=TurretLine two points 0.05s (Shoot 202-205)
GeyserActivated,geyserrumble(3D)+geyseractivate(3D),TryRumble() at the rumble START (peers rumble together),rumble shake+spout,TryRumble() ok (both Updates erupt together 1s later),cooldown gate (report = TryRumble transition - liquidType = generation snapshot #128),covered,REPORT AT TryRumble = the 1s forewarning's start (the event's TRUE START; was Activate() - peers only started rumbling after the trigger side had erupted - 1s lag - fixed 2026-08-10); liquid grid = fluid domain
SpikeStabbed,loudStab(3D)+this.sound,Stab() runs game sound,stab animation,Stab() runs game anim,activated,covered,
BearTrapClamped,beartrap(3D)+gore(limb),beartrap ok,closeSprite+teeth-destroy,ok,activated,covered,gore is the clamped player's own limb
BearTrapReleased,beartrapunlatch(3D),ok,origSprite restore,ok,activated=false,covered,
StalactiteDropped,stalactitefall(3D)+glass,Drop() runs game sound,fall animation,Drop() runs game anim,dropped,covered,
SoundCannonFired,sonarcharge(2D charge)+sonarouch(2D blast)+tinnitus,sonarouch 2D-global replay (identical to SoundCannon.cs:64),charge-rotate (child),n/a (charging cancelled),spent+charging=false,covered,blast sonarouch 2D-global replay added; damage NOT replayed (trigger-side single-target rides CharacterData); tinnitus/shake/deafen stay trigger-side local UI
CaveTicksSpawned,caveticks(2D) ok,ok,particles-stop+nest-destroy,ok,started,covered,spiders ride EntitySpawned + EnemyRuntimeSpawn binding; late joiner materializes via EnemySnapshot.RuntimeSpawns
CrystalFragileBroken,glass(3D) ok,ok,crystal vanish (health0),ok+RemoteDeath,health<0.5,covered,
CrystalElectricShocked,zap(3D)+Shake200,ok,ring-anim (Update natural),ok,cooldown gate,covered,
